id,publish_date,url,title,text
0,2020-11-08 06:00:00-05:00,https://www.theatlantic.com/international/archive/2020/11/joe-biden-america-world/617016/,Joe Biden Won’t Fix America’s Relationships,"Another conclusion for world leaders is that whatever happens to Trump and Trumpism over the next few weeks and years, the causes of their rise, and the issues they have identified, have certainly not gone away. Yes, these leaders believe, Trump was, and perhaps will be again, a fundamentally malign, ignorant, and dangerous president, but he was not the cause of the structural problem at the heart of the U.S.’s relationship with the world. I spoke with dozens of diplomats, officials, and aides in the U.S. and Europe in the run-up to the election, most of whom expected a Biden victory, and many of whom spoke on condition of anonymity to discuss sensitive diplomatic issues. Almost all accepted that serious questions about America’s role in the world would not go away just because Trump was dethroned. The fact that the election was closer than they had expected only confirms this conclusion.

“The old politics is over,” one senior aide to a European leader told me before the election. It was a message that was repeated back to me again and again, particularly by those more skeptical of the transformative powers of a Biden presidency. Over the past four years, a muscle memory has developed in Berlin, Paris, Brussels, and London of how to work not just with American power, but against it, on issues such as climate change and trade. Less antagonistically, but just as important, I was told that America’s allies had also learned how to work in the space left open by Washington’s indifference, whether dealing with the crisis in Belarus, facing up to Turkish maneuverings in the Mediterranean, or managing the devastation in Lebanon. Where once the U.S. might have played mediator or imperial savior, today it is often absent, disruptive, or simply unclear in its goals and commitment. A new president may soon reside in the White House, but confidence that any American decision is secure is all but nonexistent. What can Biden achieve with an angry, prowling Trump menacing his every move for the next four years?

Most of those I spoke with across Europe already took for granted that the U.S. retrenchment actually began under Barack Obama, even if it intensified under Trump. So even if Biden, Obama’s vice president, were able to bring together enough of the American system behind his leadership, such an analysis—fair or not—risks turning into something much more acutely problematic, metamorphosing into a shared idea that it is not Trump who cannot be relied on, but the U.S. itself.

“If you open that Pandora’s box,” Britain’s great postwar foreign secretary Ernest Bevin once quipped, “you never know what Trojan horses will jump out.” In Europe, at least, we already know that one idea has jumped out: independence from America.

In Common Sense, the revolutionary pamphlet in support of American independence, Thomas Paine argued that there was “something very absurd, in supposing a continent to be perpetually governed by an island.” At the time, of course, he was referring to England’s rule over America. Paine likely could never have imagined that America might one day be the geopolitical island governing the European Continent—its leaders forced to petition the great U.S. sovereign for protection. This reality is what European political elites, particularly those in the Continent’s three biggest countries, are rebelling against."
1,2020-11-08 05:00:00-05:00,https://www.theatlantic.com/ideas/archive/2020/11/the-crisis-of-american-democracy-is-not-over/616962/,The Crisis of American Democracy Is Not Over,"Biden has earned more votes than any other presidential candidate in history—with Trump a close second. As in 2016, tens of millions of Americans will look at the results knowing that their compatriots voted for a candidate whose campaign was premised on their mere presence in the United States being an existential threat to the country. For many of them, the sense of relief they find in a Trump defeat will be coupled with the understanding that much of the electorate does not recognize them as truly American, and that the faction that supports Trumpism has not only grown, but grown more diverse than it was in 2016. The outcome is ultimately bittersweet—not only because of the institutional obstacles to any lasting change, but because America’s rebuke of Trumpism was paired with a reminder of the ideology’s lingering potency. That the president spent the last few weeks of the campaign making his own supporters sick with a deadly disease, simply to feed his own ego, did not begin to dampen the devotion they showed him.

With Biden’s victory, American democracy has earned a reprieve from its most immediate threat. But the tasks Biden faces when he assumes the presidency are daunting. Biden will have to contain the worst pandemic in a century and revive the economy, but he must also restore faith in American democracy. The sole blessing, perhaps, is that these tasks are closely related to the crisis that summoned him to the fore. To succeed, Biden will have to do more than secure Americans’ right to vote, ensure that workers’ wages rise, and return life to some semblance of pre-pandemic normality, although those are all necessary. He must also remind Americans that the government can serve the people, and not just the ambitions, avarice, and ego of its leader.

The moral core of Trumpism is the ethnic and religious chauvinism that the president has espoused since his descent from the escalator at Trump Tower in 2015, when he announced that Mexico was sending “rapists” and “drug dealers” to America. As that campaign unfolded, Trump’s list of domestic enemies grew, as he vowed to ban Muslims from coming to the United States, and embraced police brutality against Black Americans. But what sustains Trumpism is cynicism about the workings of government and the promises of democracy. If every politician is a crook, if every program is a boondoggle, if every initiative is graft, then absolutely nothing is lost by elevating a strongman who seeks to stuff his own pockets. Perhaps, unlike the crooks currently in charge, he could get something done.

This cynicism was perhaps easier to sustain before the coronavirus pandemic and the economic crisis it created. The American people needed their government to be effective, responsive, and generous. The Trump administration needed to contain a deadly outbreak, communicate clearly and effectively about the risks of infection, prevent the economy from collapsing, and dispatch resources to states to keep them from being overwhelmed. Instead, after a crucial initial stimulus, the president and his party held up further aid on the grounds that it would amount to “blue-state bailouts” that would assist the enemy—that is, the Americans who live in states whose electoral votes did not go to the president in 2016. It will not be a simple matter to purge this poison from the body politic, if it is possible at all."
2,2020-11-09 07:00:00-05:00,https://www.theatlantic.com/family/archive/2020/11/dear-therapist-my-laws-are-driving-me-nuts/617024/,Dear Therapist: I Had a Great Relationship With My In-Laws. Then Everything Changed.,"Other common reasons that in-laws interfere include difficulty with impulse control (they blurt out whatever comes to mind), feeling a sense of loss with age and finding purpose in offering their “expertise,” wanting to assuage loneliness by becoming overinvolved in a grandchild’s life, and trying to reclaim their power by not having others tell them what to do (see: social distancing).

Whatever the reason, in-law issues are really couple issues, so you need to start by having a different conversation with your husband, one with a tone of compassion, curiosity, respect, and kindness. Instead of framing this as a contest between whose feelings—yours or his parents’—matter more to your husband, consider how anxiety-provoking it must be for him to feel like no matter what he does, somebody he loves will be upset with him. Open the conversation by empathizing with his predicament so that he feels seen and heard in the way you want to feel seen and heard. Then, when talking about the interactions with his parents, make sure not to talk about them negatively, which could make him feel defensive and attacked. Instead, talk about the two of you as a couple. Ask him, “When your parents said X about my not having a job, I wondered where that came from. Do you ever feel that way too, or is this solely their concern?”

It could be that your husband has felt frustrated about your not having a job, and his parents know that this places an extra burden on him. Maybe he’s afraid to bring it up with you, and his parents are trying to support him, albeit in a way that makes things worse. Or maybe his parents have complicated feelings about having bought the house and are glad to see your family living there, but are also ambivalent about the fact that you weren’t able to contribute more because you have just one income. In this conversation, you’ll learn more about which issues belong only to his parents and which might overlap with his. If there is some overlap, this is a great opportunity to reconnect as a couple; many new parents are so busy with their parenting roles that they let a lot of the communication needed for a healthy relationship slide. Meanwhile, you can tell your husband that while you appreciate his parents, genuinely like them, and believe that they mean well, the comments they’ve made recently have been hurting you, and you want to come up with a plan together so that the family can get back on track. This frames the problem in a positive light.

Keep in mind that your husband might have a hard time setting boundaries with his parents or even understanding why he needs to do so if he doesn’t have experience setting boundaries with them already. If, for instance, he compromises the privacy between you by sharing with his parents how he feels about your body or your job or your parenting choices, this is a good time to have a conversation about what information stays within the couple and how he can communicate directly with you instead. When he talks to his parents about comments that have hurt you, instead of making it sound like you’re the only one affected and you’re complaining about them to their son (which is what is sounds like they’ve been hearing), he can say something like “It upsets me when you make these kinds of comments. I’ve mentioned before that they affect my wife, but I want you to know that they also bother me. We appreciate all you’re doing for us, and I know you’ve apologized, but it really has to stop, so the next time you say something hurtful, we’re going to end the visit.” He can do something similar with the frequency of their visits: “We love seeing you and so does our daughter, but she’s on a nap schedule, and we need you to call us to make sure it’s a good time to visit. If it’s not, please understand that sometimes we’re busy or tired and just aren’t up for company, but that’s no reflection of our love for you.”"
3,2020-11-07 10:19:30-05:00,https://www.theatlantic.com/politics/archive/2020/11/trump-bannon-election-party/617020/,When the MAGA Bubble Burst,"“It is not going well for the globalists,” Bannon boomed, his huge, shaggy head filling the TV screens on every wall. “It is not going well for the elites. They’re back on their heels tonight.” Donald Trump, he predicted, was on the cusp of “another amazing come-from-behind victory.”

There was reason to be skeptical. Despite the president’s early win in Florida, the race had already begun to stabilize in the waning hours of Election Day. The math was getting harder for Trump; the swing states were swinging away. For now, Bannon and his bitter-enders were safely ensconced in their rooftop bubble—but what would they do when reality crashed down on them?

Zeynep Tufekci: America’s next authoritarian will be much more competent

For many of the president’s followers, the past four years have been one long, quasi-religious exercise in suspending disbelief. To adhere to the Church of Trumpism was to reject anything that might challenge its orthodoxies. The news was fake. The polls were fake. The investigations and scandals and fact-checks were fake. It only stood to reason that if Trump lost his bid for reelection, the defeat would be fake as well.

And so, at Bannon’s Election Night party, bravado reigned. When I asked Harlan Hill, a Trump-campaign adviser, how he was feeling about the race, he responded emphatically: “Oh, he’s gonna win. One hundred percent.”

“You’re that confident?” I asked.

“Absolutely.”

“And if it goes the other way …”

“I’ll eat my shoe. We’ll do it in a live-stream.”

Of course, as the race turned against Trump in the days that followed, Hill was not browsing recipes for boiled loafers. He was tweeting furiously about a massive—and entirely fabricated—conspiracy to steal the election from the president. “I’m going to Philly tomorrow with a team,” he announced on Twitter Thursday. “This is war.”

Such theatrics dominated MAGA-world this week (even as many elected Republicans distanced themselves from Trump’s election-fraud claims). Mark Levin, a conservative talk-radio host, posted an unhinged all-caps tweet urging GOP state legislatures to ignore the votes of their constituents and appoint pro-Trump electors. Newt Gingrich mused on Fox News about having poll workers arrested. The Fox Business host Lou Dobbs angrily called for the Justice Department to intervene in the vote count. And Bannon detailed a vivid fantasy that involved beheading Anthony Fauci, the nation’s top infectious-disease expert, and placing his skull on a pike outside the White House. (After Bannon posted a video of those comments to Twitter, the network banned his account.)

Anne Applebaum: Trump won’t accept defeat. Ever.

Much of this posturing is performative, of course—a cynical way to keep audiences watching, and voters mad. But there’s reason to believe that, for a certain faction of the GOP, Trump’s rigged-election narrative will become an article of faith."
4,2020-11-08 10:00:00-05:00,https://www.theatlantic.com/culture/archive/2020/11/nxivm-two-ways-seduced-and-the-vow/617038/,How to Tell the Story of a Cult,"Reader, it happened to me. In 2006, when I was floundering after college and my father was dying of cancer, my mother enrolled me in a personal-development program she’d recently taken and couldn’t say enough good things about. Edmondson’s description of suddenly awakening to the idea of profound personal change tracked with what I found on day three, having identified my own limiting beliefs and witnessed dozens of fellow attendees “transform” emotionally onstage. Pepped up on possibility, I decided to apply to journalism school. During one of the breaks, compelled by the session leader, I called my dad and told him I loved him. (Because we were both English and therefore hopelessly emotionally repressed, this was the moment my stepmother decided I was in a cult.) For years afterward, I told people how much the course had helped me, and encouraged them to consider it. My interpretation of the program was, until recently, colored by the immersive experience of the whole thing—of being surrounded by joyful, trippily tired people committing themselves to being better human beings. What could be so bad about that?

The storytelling in The Vow can be both similarly open-minded and similarly blinkered. From the outset, the show’s directors, Jehane Noujaim and Karim Amer, appear intent on countering the reductive “sex cult” portrayals of NXIVM with a persuasive portrait of how intelligent, empathetic people became so swayed by the promise of infinite human potential sold by NXIVM’s Executive Success Programs that some ended up agreeing to be branded with a cauterizing iron. As Edmondson publicly revealed in 2017, NXIVM wasn’t just running self-improvement seminars. Within the larger organization was a smaller cult of personality in which some female members (including the Smallville actor Allison Mack) reportedly recruited other women into sexual servitude for NXIVM’s co-founder Keith Raniere, a soft-spoken, unprepossessing volleyball enthusiast.

Read: How is Jeffrey Epstein still so elusive?

“We didn’t join a cult,” the NXIVM member turned whistleblower Mark Vicente says in one scene, frustrated. “Nobody joins a cult. They join a good thing. And then they realize they were fucked.” Much of The Vow’s footage is taken directly from the propaganda videos Vicente made as he abandoned his directing career to climb higher in the NXIVM ranks, which may explain why the show feels curiously defensive. It dreamily weaves ex-members’ reminiscences through abundant scenes of Raniere working his schtick—expounding vaguely on topics such as integrity and trauma. The emphasis is always on understanding, not judgment.

Some crucial context is missing, though. Amer has said that he and Noujaim are filmmakers, not journalists; according to Noujaim, their mission was to document a crisis of faith, not tell the comprehensive story of NXIVM. (Noujaim enrolled in a few NXIVM workshops herself and has spoken about being swayed by the group’s supposedly idealistic mission.) But The Vow’s fly-on-the-wall approach to capturing how NXIVM unraveled means it treats both its apostates and Raniere himself—sentenced last month to 120 years in prison for sex trafficking and other crimes—with a dubiously soft touch."
5,2020-11-08 15:30:00-05:00,https://www.theatlantic.com/ideas/archive/2020/11/mr-trump-tear-down-wall/617041/,"Mr. Trump, Tear Down This Wall","Like many reporters who have worked—either periodically or daily—at the White House, my view of the place borders on mystical. (My feelings about the men who have occupied the Oval Office are generally not so gauzy.) The White House, like the Capitol and the Supreme Court, represents high ideals made manifest. These buildings should not be hidden. It’s the role of the current occupant of the White House to make sure that it is as accessible—or at least as visible—as possible.

This is not a complaint about security. I’ve visited the White House as a reporter since the days when cars were allowed to drive right by it. The decision to close Pennsylvania Avenue to traffic in 1995 was controversial, but it made sense, after the Oklahoma City bombing, as did the imposition of additional security measures following the terrorist attacks of 9/11. The ban had an upside, though: Freeing Pennsylvania Avenue of cars opened it to people. On sunny days, hundreds, even thousands, of visitors would take in the grandeur of the White House from just outside its fence.

Of course, would-be jumpers saw the wrought-iron fence as a temptation; in 2014, one made it over and into the building itself. At that point, the Secret Service and the National Park Service began planning for a new White House fence that would be twice as tall, replacing the ugly array of improvised barricades. Six years later, that new fence remains under construction.

The goal of a new fence was to make the White House safe, and visible. But Trump turned the White House into his own personal Green Zone. Fear has shaped both his message and his behavior over the past four years. Trump displayed nearly as much disrespect for the White House as he did for the presidency itself.

I have not visited the White House much during this presidency, particularly after this magazine published a cover story in early 2019 calling for Trump’s impeachment. One of my last visits came in May of 2018, for lunch with Jared Kushner, the president’s son-in-law and majordomo. The main topic of conversation was the Middle East, but as I was leaving, I registered my unhappiness with something egregious his father-in-law had just said (I have no recollection of the details, given the quantity and velocity of insults emanating from this White House). Kushner smiled and said, “No one can go as low as the president. You shouldn’t even try.” It took me a beat to realize that he meant this as a compliment to Trump, not as a criticism.

In the hours after the race was called for Joe Biden, the streets surrounding the White House were filled with relieved people, angry people, vengeful people, happy people, and happily vengeful people. What united everyone was a desire to have their house back.

Trump should tear down the walls around the White House. If he doesn’t, though, I don’t have much doubt that Joe Biden will."
6,2020-11-08 05:00:00-05:00,https://www.theatlantic.com/politics/archive/2020/11/trump-isnt-going-anywhere-after-bidens-victory/616988/,What to Expect Next From Donald Trump,"Mobilizing the MAGA forces may not be as easy when he’s out of power. His Twitter feed is a less essential read now that he can’t use it to threaten nuclear war. Once Trump leaves office, social-media networks may be less tolerant of his messages that promote conspiracy theories, peddle misinformation, and run afoul of their rules. Already, Twitter has gotten bolder about flagging tweets that make baseless claims. On Wednesday, the company attached a warning label to a tweet in which Trump claimed, without evidence, that Democrats were “trying to STEAL the Election.”

If Trump’s abuse of social media persists, tech companies may consider “terminating his account,” Leonard Niehoff, who teaches the First Amendment and media law at the University of Michigan Law School, told me. “Once he’s no longer president, when everything he says is a matter of public interest, then you get into a fairness argument. If he’s abusing the platform, why give him more opportunities for abuse than anyone else gets?” (When I asked the company how it might handle Trump after he leaves, a Twitter spokesperson explained that “people should be able to choose to see what their leaders are saying with clear context. This means that we may apply warnings and labels, and limit engagement to certain Tweets. This policy framework applies to current world leaders and candidates for office, and not private citizens when they no longer hold these positions.”)

One way Trump can guarantee his continued relevance and keep his supporters enthralled is to flirt with the notion of running for president again. He’s done it before, teasing presidential runs in past decades only to hold back in the end. He wouldn’t need to be serious about the idea; floating a comeback would be enough to commandeer attention.

Annie Lowrey: Why the election wasn’t a Biden landslide

Allies aver that another run isn’t mere fantasy. Trump will be 78 years old when the 2024 election arrives, the same age Biden will be when he takes office in January. If Biden moves further left and is seen as out of step with the electorate, Trump could find an opening, one adviser told me. Should Biden push a “socialist agenda, I don’t think you’ll have seen the end of Donald Trump,” Corey Lewandowski, a senior Trump-campaign adviser, told me ahead of Election Day.

Either way, Trump has left an imprint that isn’t easily erased. He’s coarsened the nation’s political dialogue, showing that a politician can mislead and prevaricate, demean and humiliate, and still win the presidency. He mishandled a pandemic that so far has killed 230,000 people and tanked the economy. People worldwide will be living with Trump’s legacy deep into his post-presidency. In that sense, too, he’s not going away.

“Despite all the misleading statements Donald Trump has made, he has never fallen much below 40 percent approval,” Kim Darroch, the former British ambassador to the United States, told me. “That’s pretty solid. What does that tell you? That we’re living in a post-truth world. Politicians around the world will be looking at this and saying, ‘You can get away with it.’ It’s a shift in the landscape that may be irreversible.”

We want to hear what you think about this article. Submit a letter to the editor or write to letters@theatlantic.com."
7,2020-11-07 11:28:23-05:00,https://www.theatlantic.com/ideas/archive/2020/11/kamala-harris-makes-history/617002/,She Did It,"Countless women can relate to what Harris went through. Women of color are often scrutinized more closely than others, and we are criticized in different terms. We are used to being told that we are too direct, too outspoken, too … something. Many of us have been punished for our ambition and had our passion mischaracterized as a threat. We are accustomed to being discounted.

To think about a Black woman holding such a lofty position in our political landscape is inspiring, especially in light of the obstacles Harris faced. But her rise does not necessarily represent a new reality for women of color.

When Barack Obama was in the White House, many on both the left and the right cited the first Black president as proof that the nation had progressed significantly on racial issues. But that notion was washed away by the election of Trump, which showed that Obama’s presidency had been an aberration, not evidence of an inclusive new norm.

Jemele Hill: Kamala Harris claims her power

Likewise, commentators will be tempted to Obama-ize Harris and characterize her vice presidency as evidence that women of color have arrived in a new position of power. While the political muscle of Black women is a real thing, Harris’s victory doesn’t erase the hurdles that Black women face on a regular basis.

No one should forget how much sexism and racism—the combination known as misogynoir—Harris has confronted, or the unrelenting misinformation campaigns waged against her on her path to the vice presidency. No one should forget that even though the Biden-Harris pairing was ultimately victorious, millions of people voted for a president who gleefully belittled and insulted not only Harris but other high-profile women of color. No one should forget that because of ingrained stereotypes about Black women, Harris will have to tread more carefully than Biden did in the nation’s second-highest office.

Harris’s ascent to the vice presidency is certainly a reflection of what’s possible. She has accomplished something that no other Black woman has. I can’t help but daydream about Harris someday stepping one level up to the presidency. But for now, her vice presidency is worth celebrating because—however painful the process—she made it to the other side of the barrier."
8,2020-11-09 09:00:00-05:00,https://www.theatlantic.com/culture/archive/2020/11/sayaka-murata-earthlings-gruesome-dystopia/617007/,A Dystopian Novel That Challenges Taboos and Refuses Judgment,"A serially traumatized Natsuki loses her magical powers, her sense of taste, and her hearing in one ear—and she becomes obsessed with fulfilling her role as a “tool for the town’s good” by studying hard and preparing to be a “reproductive organ.” But, as Convenience Store Woman reveals, upholding convention is a vexed endeavor. When we next meet Natsuki, she’s 34 and married to a man she met online, seeking a “businesslike arrangement”—as much of an emotional exile as ever. “All I knew was that love was a mechanism designed to make Earthlings breed,” she notes. “People who couldn’t fall in love had to fake it.” She and Tomoya sleep in separate beds and stagger their mealtimes, sharing only their failure to be “brainwashed by The Factory,” their term for society. When constant surveillance by friends and family becomes too much, the pair makes a daring escape to the home of Natsuki’s grandmother, in the mountains outside of Tokyo. There they connect with Yuu, who is single and unemployed, and set about establishing a small society in defiance of The Factory.

As in Convenience Store Woman, Murata displays her gift for scrambling notions of utopia and dystopia to propulsive effect—only this time, her characters are convinced that they’re rebelling, not conforming. This trio pledges to see things “from a more rational stance” than Earthlings do, intent on being guided by logic rather than prevailing cultural norms. Keiko, by contrast, initially finds her place in an eerie symbiosis with Smile Mart, becoming “one of the cells of the store.” And later, pulled back into a different convenience store, she is enveloped anew: “All its sounds quivered with meaning, the vibrations speaking directly to my cells … For the first time, I could think of the me in the [store] as a being with meaning.”

Whether Keiko is best understood as a normal person with problems (which she knows is her sister’s preferred way of viewing her) or as an abnormal person “for whom everything is fine” (her own view) is the conundrum Murata poses, and dissolves. The uncanny effect is to reveal a world of preprogrammed relationships that bind people together, even as they obscure emotional chasms between them. The speeches that Keiko’s friends and relatives spout about family and motherhood are as rote as the phrases Keiko and her colleagues chant to customers, and they are delivered with even less feeling. For all society’s talk of love and nurturance, under Keiko’s gaze its core value is revealed to be a cheery willingness to serve others 24 hours a day.

In Earthlings, Murata tests out a more brutally exploitative dynamic. Her trio’s quest to claim literal high ground—they head to the mountains, “close to the universe,” hoping to find emotion-free clarity—only reveals their complicity with a rapacious approach to human coexistence. Natsuki earnestly compares their ersatz society of Popinpobopians to “the time before Adam and Eve ate the apple,” but there’s plainly nothing Edenic about it—and their blindness to this reality is no less egregious than the brainwashing they believe keeps others tied to The Factory. Murata’s prose veers from almost slapstick to gruesome, from childlike fantasy to horror, as the trio take to perverse extremes the wedding vow that Natsuki and Yuu made as kids to “survive, whatever it takes.”"
9,2020-11-06 13:03:27-05:00,https://www.theatlantic.com/ideas/archive/2020/11/trump-proved-authoritarians-can-get-elected-america/617023/,America’s Next Authoritarian Will Be Much More Competent,"Read: Populism is undefeated

He campaigned like they did, too, railing against the particular form of globalization that dominates this era and brings benefit to many, but disproportionately to the wealthy, leaving behind large numbers of people, especially in wealthier countries. He relied on the traditional herrenvolk idea of ethnonationalist populism: supporting a kind of welfare state, but only for the “right” people rather than the undeserving others (the immigrants, the minorities) who allegedly usurp those benefits. He channeled and fueled the widespread mistrust of many centrist-liberal democratic institutions (the press, most notably) —just like the other populists. And so on.

But there’s one key difference between Trump and everyone else on that list. The others are all talented politicians who win elections again and again.

In contrast, Trump is a reality-TV star who stumbled his way into an ongoing realignment in American politics, aided by a series of events peculiar to 2016 that were fortunate for him: The Democrats chose a polarizing nominee who didn’t have the requisite political touch that can come from surviving tough elections; social media was, by that point, deeply entrenched in the country’s politics, but its corrosive effects were largely unchecked; multiple players—such as then–FBI Director James Comey—took consequential actions fueled by their misplaced confidence in Hillary Clinton’s win; and Trump’s rivals in the Republican primaries underestimated him. He drew a royal flush.

It’s not that he is completely without talent. His rallies effectively let him bond with his base, and test out various messages with the crowd that he would then amplify everywhere. He has an intuitive understanding of the power of attention, and he played the traditional media like a fiddle—they benefited from his antics, which they boosted. He also clearly sensed the political moment in 2016, and managed to navigate his way into the presidency, though that probably had more to do with instinct than with deep planning.

Luck aside, though, Trump is not good at his job. He doesn’t even seem to like it much. He is too undisciplined and thin-skinned to be effective at politics over a sustained period, which involves winning repeated elections. He seems to have been as surprised as anyone else that he won in 2016. While he hates the loser branding that will follow him now, he’s probably fine with the outcome—especially since he can blame it on fantastical conspiracies involving theft or ballot-stuffing or the courts—as long as he can figure out how to escape the criminal trials that are certainly coming his way. (A self-pardon? A negotiated pardon? He will try something.)

Trump ran like a populist, but he lacked the political talent or competence to govern like an effective one. Remember the Infrastructure Week he promised? It never happened. Remember the trade wars with China he said he’d win? Some tariffs were raised here and there, but the jobs that would bring relief to America’s decimated manufacturing sector never resurged. In Wisconsin in 2018, the president announced “the eighth wonder of the world”—a Foxconn factory that was supposed to employ 13,000 in return for $4.5 billion in government subsidies. However, going into this election, the building remained empty, and the president lost Wisconsin in the Electoral College. (Foxconn hired people in the final weeks of 2019 to fulfill quotas for the subsidies, and laid off many of them right after the new year.) Most populists globally deploy wide patronage networks: state spending that boosts their own supporters. Trump’s model remained attached more to personal graft: He encouraged people to stay in his hotels and have dinner at Mar-a-Lago in exchange for access, rather than develop a broad and participatory network that would remain loyal to him for years. And when the pandemic hit, instead of rising to the occasion and playing the strongman, rallying the country through a crisis that had originated in China—an opportunity perfect for the kind of populist he aspired to be—he floundered."
