id,publish_date,url,title,text
0,,http://www.cnn.com/travel/news,Travel News - CNN,Tampa International says it's the first airport in the country to offer Covid-19 testing to all flyers
1,2020-11-01 00:00:00,http://www.cnn.com/2020/11/01/world/gallery/typhoon-goni-philippines/index.html,In photos: Typhoon Goni hits the Philippines,"Nino N. Luces/Reuters A man looks at his house buried under the rubble following flash floods brought by Typhoon Goni in the Albay province of the Philippines on Sunday, November 1. In photos: Typhoon Goni slams into the Philippines

Nino N. Luces/Reuters A man looks at his house buried under the rubble following flash floods brought by Typhoon Goni in the Albay province of the Philippines on Sunday, November 1.

Typhoon Goni, the strongest typhoon to hit anywhere in the world this year, barreled through the south of the Philippines' main island of Luzon on Sunday, an initial government report showed.

Storm surges hit some coastal towns, while rivers overflowed and dikes were destroyed, submerging several villages in Bicol.

Over 390,000 people had fled to safer ground, including more than 345,000 to evacuation centers, raising concerns about compliance with coronavirus-related health protocols.

Goni is one of the strongest storms to hit the Philippines since 2013's Haiyan, which killed more than 6,300 people."
2,2020-10-03 00:00:00,http://www.cnn.com/2020/10/03/weather/drought-hindering-fall-foliage-saturday/index.html,Fall foliage faltering under 'extreme drought' conditions,"(CNN) Fall ushers in cooler temperatures, pumpkin spice everything and beautiful fall foliage. And thousands of Americans seek those vibrant colored leaves by traveling notable distances to view them.

But geography doesn't automatically prescribe vibrant colors -- weather often plays a more important role. So where has the weather been conducive for good leaf peeping this year?

Perfect foliage conditions rely on a good combination of temperatures (not too hot and not too cold) and moisture (not too wet or too dry). The problem is that some areas have experienced these extreme conditions, particularly in the West and New England.

Why drought matters

Over 75% of the West is under drought conditions. Over 80% of Massachusetts, Maine, Rhode Island and New Hampshire are experiencing severe drought.

But some of those same New England areas witnessing drought conditions also happen to be reporting more vivid fall colors.

""This year we are seeing exceptionally vibrant fall foliage in Vermont,"" said Dr. William Keeton, a Forest Ecology and Forestry Professor at the University of Vermont. ""It is due to a combination of factors, including good tree growth last year, mild drought and both warm days and cool nights over the last month. ""

While the drought may trigger more vibrant colors, the timing may be premature.

""The colors this year are coming about two weeks earlier than normal and will probably go by fast and furiously,"" Keeton said. ""Largely, this is because the drought creates stress for the trees -- physiological stress. So from that standpoint, while the drought may enhance some of the colors, the stress is not a good thing and may be a harbinger of things to come with climate change.""

In addition to starting early, the duration of the leaf color is also likely impacted.

""In terms of fall foliage, drought can cause the leaves to change colors earlier, but they may also die and fall off earlier,"" said Kaitlyn Weber, a data analyst for Climate Central. ""Prolonged and more extreme drought can cause physical damage to trees such as root loss, slowed growth, and makes it harder for trees to protect themselves against pests and disease.""

Which is why the level of drought matters too.

Vermont, for example, is mostly in a moderate drought (level 1 out of 4), versus New Hampshire, Massachusetts and Maine, which are mostly in a severe drought (level 2 out of 4). And Rhode Island is almost entirely under an extreme drought (level 3 out of 4).

""A mild to moderate drought may actually enhance fall foliage to some degree, so long as it didn't lead to a lot of 'browning' or early leaf drop,"" Keeton said. ""Then again, drought one year may mean less robust leaf production the next.""

So it isn't always an instant impact. Often, the effects of droughts are delayed. Right now, 76% of Vermont is under moderate drought conditions or worse. But at this same time last year, 0% of the state was under drought conditions.

""Good tree growth last year allowed the trees to store up energy reserves and nutrients over the winter, resulting in robust leaf development this spring and summer,"" Keeton said. ""But this works the other way too...a bad drought one year can lead to poorer foliage the next.""

Extreme heat and climate change

Ideal conditions for vibrant foliage include warm days and cool nights. That encourages the production of a chemical called anthocyanin, which adds the red and purple colors in some species, like maples.

""The contrasting temperature between night and day speeds up the loss of chlorophyll from leaves, leaving behind the secondary photosynthetic pigments (carotenoids) that give us the yellow and orange colors,"" Keeton said.

However, just like a drought, severe heat can stress trees enough to cause early browning or loss of leaves. And moderate heat, or prolonged heat -- when fall feels more like an extension of summer -- can delay the change to fall colors, because the trees aren't getting the signal that fall has arrived.

""It's also possible for plants to miss the cue altogether and lose their leaves quicker,"" Weber said.

The period from June through August this year was the fourth hottest on record in the US, according to the National Oceanic and Atmospheric Administration.

Western states like Colorado and New Mexico often see a tourism boost as travelers seek out the vivid leaves of aspen and scrub oak trees. Both of those states, along with Nevada and Utah, had their hottest August on record this year. New Mexico had its second driest summer (June through August) on record.

""The causes of fall foliage are complex and actually not entirely understood,"" Keeton said. ""Drought is only one of several factors, the others being photoperiod and the contrast between daytime and nighttime temperatures in autumn. All of this just goes to show how fascinating our forest ecosystems are!""

Wildfires add another obstacle/dilemma

Wildfires will also complicate leaf peeping in Colorado and California this year. Several states are still dealing with poor air quality and hazy skies from the smoke. That haze will block your ability to see the vibrant colors.

""Currently all National Forests in the Pacific Southwest Region are closed to the public by order. There are few exceptions to these orders,"" according to the US Department of Agriculture Forest Services website

Inyo National Forest in California is closed until October 8 due to the ongoing wildfires in the region. However, the conditions remain fluid as the wildfires shift or become contained, so check each park's website to see if they have re-opened.

Current active large fires in the US

Not all areas are expected to be bad. Most of the Southeast and Midwestern regions of the country will see their fall foliage flourish this season as weather conditions have been quite favorable this year."
3,2020-11-02 00:00:00,http://www.cnn.com/2020/11/02/cnn-underscored/how-to-heat-your-outdoor-space/index.html,All the innovative ways you can heat your outdoor space,"(CNN) —

As the weather outside grows frightful, the fire doesn’t have to be inside to be delightful. After nearly nine months of sheltering inside, many home dwellers will be looking for ways to stay outdoors as long as possible, making outdoor heating a new necessity of 2020.

Whether you have a lush backyard, a patio or a tiny balcony, there are many ways to stay toasty this fall and winter. All it takes is a little creativity and a few investments in useful products. As event planner and space designer Joe Moller shares, it’s possible to create an outdoor heating strategy no matter your location, style and budget. Below you’ll find some ways to start your shopping, as recommended by the experts:

Outdoor fire pits

Since most folks don’t have an outdoor fireplace, the next best hygge-inspired way to heat your outdoors is via a fire pit. Cozy and pretty, both wood-burning and gas fire pits emit the warmth you need to enjoy s’mores, cocktails and conversations outdoors. (Psst: If you live in a city, make sure to check local ordinances since some zip codes don’t allow for traditional wood fire pits and only permit gas options.)

Sunnydaze Decor Flaming Ball Round Steel Wood Burning Fire Pit ($195; homedepot.com)

Sunnydaze Decor Flaming Ball Round Steel Wood Burning Fire Pit PHOTO: Home Depot

For a more rustic way of staying warm once the temperature drops, Moller recommends this sphere-shaped fire pit. “Throw a couple of those quick-start logs underneath some natural wood and you can enjoy the popping and crackling of a real fire without worrying about flying sparks,” he explains. It can also be used as a planter during the summer, making it a smart multipurpose buy.

Kingso Fire Pit ($48.99, originally $70; amazon.com)

Kingso Fire Pit PHOTO: Amazon

An Amazon shopper favorite, just throw a few logs into this affordably priced fire pit and you’ve got yourself some cozy outdoor ambiance. It also comes with a spark screen and fire poker, and customers rave about how safe it feels to use. Plus, it’s small enough to lug around.

Solo Stove Ranger Fire Pit ($229.49, originally $269.99; amazon.com)

Solo Stove Ranger Fire Pit PHOTO: REI

If you have a smaller area, a large fire pit might take up too much space or not be safe. That’s why this pint-size yet durable and heat-emitting fire pit is a good idea. It’s compact and light enough to take camping but strong enough to keep your whole fam outdoors in the evening. What we love the most is how simple and fast it is to clean so you can spend more time hangin’ and less time worrying about the mess.

Endless Summer 30-Inch Outdoor Propane Gas Fire Pit Table ($275; amazon.com)

Endless Summer 30-Inch Outdoor Propane Gas Fire Pit Table PHOTO: Amazon

Rather than testing your Boy Scout or Girl Scout fire-starting skills, you’d rather flip a switch and enjoy the heat. This propane gas option is not only sleek and modern for your outdoor aesthetic, but it’s super safe and warm too. Thanks to the reinforced resin tabletop design, you can set your glass of vino by the flame and soak up the crisp evening.

Yaheetech 32-Inch Outdoor Metal Fire Pit ($107.99; amazon.com)

Yaheetech 32-Inch Outdoor Metal Fire Pit PHOTO: Amazon

“This is a great little fire pit for the price,” writes one reviewer of this fire pit. “Assembly took maybe 20 minutes by myself. It’s easy to move around so you can have a fire anywhere. The actual fire pit part removes easily from the frame so that you can empty ashes easily. I also loved that it came with its own cover so I don’t have to worry about rain rusting it.”

Outdoor blankets and rugs

While a fire pit is a necessity, it may not create enough warmth for you to sit comfortably. In addition to clothing layers, outdoor blankets seal in the heat of your body. From cordless heating options to faux fur, you can match your blanket or rug to your aesthetic, so it’s both practical and stylish.

Lochas Faux Sheepskin Rug ($18.98; amazon.com)

Lochas Faux Sheepskin Rug PHOTO: Amazon

To warm up your space in an entirely different way, turn to cozy textiles, like this faux sheepskin pelt, suggests designer Lisa Queen. When you add this to your outdoor chair before you sit down, you’re instantly piling on another layer of heat. Just make sure you take it back indoors when you’re finished since it won’t be able to sustain weather conditions, Queen says.

The Cozee Battery-Powered Heated Blanket ($249.99; amazon.com)

The Cozee Battery-Powered Heated Blanket PHOTO: Amazon

As Terry Lin, the co-founder and chief design officer of the outdoor living brand Outer, puts it, a blanket to keep the chill at bay is a must if you want to spend any amount of time outdoors. If you want an extended hang period but the wind is a bit too cold, consider this battery-operated heated blanket. It heats up thoroughly in a half hour and can last up to five hours, which would make the price worth it for anyone who’s always chilly.

Pinzon Faux Fur Throw Blanket (starting at $30.78; amazon.com)

Pinzon Faux Fur Throw Blanket PHOTO: Amazon

Keep the faux fur theme going with this blanket, which will make you feel like you’re in a Swiss ski lodge. Who’s making the fondue?

Rumpl The Down Puffy Blanket ($249; amazon.com)

Rumpl The Down Puffy Blanket PHOTO: Amazon

Let’s be honest: A plush down comforter is just about perfect for snuggling on the couch. Sadly, they’re far too heavy and bulky to carry outside…until now. The Rumpl down puffy blanket packs up tiny but opens to the perfect-size throw for outdoor lounging.

Outdoor heaters and lamps

Comfort Zone Ceiling Mount Quartz Heater ($49.99; bedbathandbeyond.com)

Comfort Zone Ceiling Mount Quartz Heater PHOTO: Bed, Bath and Beyond

Queen recommends mounting one or two of these heaters under a trellis or on the side of a structure for warmth that stays out of your way. “Nothing on the floor to manage, so great for small spaces too,” she explains. If you aren’t exactly experienced in wiring, it could be worthwhile to hire an electrician to set this up safely.

Garden Treasures Stainless Steel Standing Liquid Propane Patio Heater ($265.97; amazon.com)

Garden Treasures Stainless Steel Standing Liquid Propane Patio Heater PHOTO: Amazon

Just like what you experience at restaurants, this floor heater will keep you warm outdoors all year round, Queen says. Not only is it easy to set up and operate, but you can just move over the propane tank from your grill. “Wheel them nearby your lounge seating or dining areas and get ready to snuggle up,” she recommends.

Outdoor heating accessories

In addition to fire pits, blankets and heaters, there are other ways to retain warmth and comfort in the great outdoors. Here are a few ideas:

Ember Temperature Control Smart Mug ($99.95; amazon.com)

Ember Temperature Control Smart Mug PHOTO: Amazon

Technically speaking, it won’t keep you warm, but it will keep that morning cup of joe from going cold. Lin recommends this as an additional accessory for your heating investments since you can enjoy coffee on your patio at your leisure. “It will ensure that your beverage stays hot, and it warms you from the inside,” he continues. “Plus, the mug is controlled by an app on your phone and will hold the temperature of your choosing.”

K&H Pet Lectro Soft Heated Dog Bed (starting at $26.72, originally starting at $39.99; amazon.com)

K&H Pet Lectro Soft Heated Dog Bed PHOTO: Amazon

Sure, your pup does wear a fur coat all year long, but they’d appreciate a little TLC through this heated dog bed. Since they never leave your side, Lin says to put this next to your chair so the whole family can savor your outdoor oasis.

Zippo Rechargeable Hand Warmer (starting at $18.01, originally starting at $24.95; amazon.com)

Zippo Rechargeable Hand Warmer PHOTO: Amazon

If you’re someone who tends to run cold, you may need more heat layers than the rest of your crew. Consider investing in two of these rechargeable hand warmers that come with six heat settings. In addition to using it in your personal outdoor space, it’s also ideal for skiing or walking around in wintry weather.

Ocoopa Rechargeable Hand Warmer (starting at $25.99, originally starting at $32.99; amazon.com)

Ocoopa Rechargeable Hand Warmers PHOTO: Amazon

Smaller than the size of your phone, this sleek rechargeable hand warmer has three different heat settings and provides double-sided heat for up to eight hours."
4,2020-10-30 00:00:00,http://www.cnn.com/2020/10/30/weather/gallery/hurricane-zeta-aftermath/index.html,In pictures: South reels after Zeta,"Chris Granger/Imagn Content Services A woman walks out of a house where the roof was torn away by Hurricane Zeta in Chauvin, Louisiana, on Thursday, October 29. In pictures: South reels after Zeta

Chris Granger/Imagn Content Services A woman walks out of a house where the roof was torn away by Hurricane Zeta in Chauvin, Louisiana, on Thursday, October 29.

At least six people died and about 1.2 million customers remained without power Friday after former Hurricane Zeta hit the Gulf Coast and rushed inland this week.

Zeta -- the 27th storm of the Atlantic hurricane season -- made landfall in Louisiana as a Category 2 storm Wednesday before weakening to a post-tropical cyclone by Thursday afternoon."
5,2020-05-11 00:00:00,http://www.cnn.com/2020/05/11/us/2020-atlantic-hurricane-season-fast-facts/index.html,2020 Atlantic Hurricane Season Fast Facts,"(CNN) Here is a look at the 2020 Atlantic hurricane season.

Facts

The 2020 Atlantic hurricane season runs from June 1 to November 30. The areas covered include the Atlantic Ocean, Gulf of Mexico and the Caribbean Sea."
6,2020-08-14 00:00:00,http://www.cnn.com/2020/08/14/us/gallery/western-wildfires-2020/index.html,In photos: 2020 wildfires on the West Coast,"Robyn Beck/AFP/Getty Images Firefighters look out over a burning hillside as they fight the Blue Ridge Fire in Yorba Linda, California, on Monday, October 26. In photos: Wildfires burning in the West

Robyn Beck/AFP/Getty Images Firefighters look out over a burning hillside as they fight the Blue Ridge Fire in Yorba Linda, California, on Monday, October 26.

Wildfires are ravaging many areas in the West, especially in California.

As of Wednesday, October 28, at least 50 large fires were burning in the West, including 18 in California, where dry, windy conditions and record-breaking high temperatures have been fueling flames for weeks. Fires burning in Oregon have destroyed more than 1 million acres in the state.

More than 4 million acres have burned across California. In terms of acres burned, this year is the worst in the state's history.

Editor's note: This gallery contains graphic images. Viewer discretion is advised."
7,2020-10-08 00:00:00,http://www.cnn.com/2020/10/08/world/antarctic-ozone-hole-scn-trnd/index.html,The Antarctic ozone hole is one of the largest and deepest in recent years,"(CNN) The ozone hole that typically grows over the Antarctic each September and October has become one of the largest and deepest in recent years -- just one year after scientists recorded its smallest size since it was discovered .

The 2020 ozone hole grew rapidly from mid-August and had grown to about 9.2 million square miles when it peaked in early October, according to a statement from the World Meteorological Organization (WMO).

It then shrank to about 8.9 million square miles -- more than twice the size of the United States -- covering almost the entire Antarctic continent, the agency said.

The ozone layer in our atmosphere protects the Earth from ultraviolet radiation.

""There is much variability in how far ozone hole events develop each year. The 2020 ozone hole resembles the one from 2018, which also was a quite large hole, and is definitely in the upper part of the pack of the last fifteen years or so,"" said CAMS Director Vincent-Henri Peuch in a statement.

The depletion is directly related to the temperatures in the stratosphere, where the ozone layer sits, because the polar stratospheric clouds that play an important role in the process only form at temperatures below -78 degrees Celsius (-108.4 Fahrenheit).

Ice crystals in the clouds react with compounds in the atmosphere that can then rapidly destroy ozone when they are exposed to sunlight, the WMO said.

NASA said last year's ozone hole was particularly small because of unusual weather patterns that cause warmer stratospheric temperatures over Antarctica.

The Antarctic ozone hole will shrink as temperatures warm up in the Southern Hemisphere, where it's spring, and will return to normal by December, the WMO said.

Peuch said this year's data confirms the need to continue enforcing the 1987 Montreal Protocol, which banned the emission of ozone depleting chemicals.

It banned chlorofluorocarbons, or CFCs, which were common in refrigerators, aerosol cans and other products before scientists realized they were damaging to the ozone layer.

CORRECTION: An earlier version of this story incorrectly identified the meteorological group. It is the World Meteorological Organization."
8,2020-09-14 00:00:00,http://www.cnn.com/2020/09/14/weather/hottest-summer-on-record-northern-hemisphere-trnd-scn/index.html,Northern Hemisphere endures its hottest summer on record,"(CNN) If you thought it's been hotter than usual, you would be correct, because the Northern Hemisphere just had its hottest summer on record.

The National Oceanic and Atmospheric Administration reports that not only was it the hottest summer, but it was the globe's third hottest three-month season on record and August was the second-hottest month ever.

A map of the world plotted with some of the most significant weather and climate events that occurred during August 2020. For more details, see the NOAA report at http://bit.ly/GlobalAug2020.

NOAA's monthly global report said that August 2020 was only behind August 2016 as the hottest month on record.

However, when it comes to the Northern Hemisphere, it's a different story. August 2020 beat August 2016 as the hottest month ever recorded with a temperature average of 2.14 degrees Fahrenheit over the 20th century average of 60.1 degrees Fahrenheit.

Globally, the top 10 warmest Augusts have all occurred since 1998, according to the agency.

Read More"
9,2020-11-09 00:00:00,http://www.cnn.com/2020/11/09/africa/ethiopia-tigray-war-concerns-intl/index.html,Concern of outright war in Ethiopia grows as PM presses military offensive,"Ethiopia's prime minister stepped up a military offensive in the northern region of Tigray on Sunday with air strikes as part of what he called a ""law enforcement operation,"" increasing fears of outright civil war in Africa's second-most populous country.

Abiy last week launched a military campaign in the province, saying forces loyal to leaders there had attacked a military base and attempted to steal equipment.

Abiy accuses the leaders of Tigray of undermining his democratic reforms.

Government fighter jets have since been bombing targets in the region, which borders Sudan and Eritrea. Aid workers on Sunday reported heavy fighting in several parts of the region, with at least six dead and dozens wounded.

Also on Sunday, Abiy named a new chief of the army, a new intelligence chief and a new federal police commissioner and foreign minister, changes that analysts said brought close allies into top posts as the conflict escalates.

Read More"
